#M_p, a_p, am_o, am_f, em_o, max em, em_dot, sim_time, sim_time/P_p, stab_flag (0 = stable), done_flag (0 = done)
1.90,0.152,8.6519,28.3640,0.0000,0.0969,4.5036e-01,3.7990e+06,3.0745e+07,-1,0
1.36,0.138,8.6519,23.0047,0.0000,0.0942,4.7396e-01,7.0900e+05,6.6327e+06,-1,0
1.29,0.180,8.6519,29.4718,0.0000,0.0851,4.5509e-01,3.6510e+06,2.2928e+07,-1,0
0.85,0.166,8.6519,23.6737,0.0000,0.1029,4.4207e-01,6.5700e+05,4.6587e+06,-1,0
1.71,0.128,8.6519,23.0415,0.0000,0.0941,4.2603e-01,8.2300e+05,8.6188e+06,-1,0
1.81,0.157,8.6519,28.7956,0.0000,0.0979,4.4946e-01,4.0820e+06,3.1469e+07,-1,0
1.30,0.101,8.6519,16.6907,0.0000,0.0910,3.1550e-01,7.6000e+04,1.1355e+06,-1,0
1.81,0.120,8.6519,22.0002,0.0000,0.0943,4.2208e-01,6.4900e+05,7.4875e+06,-1,0
0.82,0.145,8.6519,20.6605,0.0000,0.0962,4.3442e-01,2.5200e+05,2.1888e+06,-1,0
1.84,0.087,8.6519,16.2108,0.0000,0.0954,3.7190e-01,8.0000e+04,1.4951e+06,-1,0
1.60,0.107,8.6519,18.8612,0.0000,0.0993,4.3065e-01,2.0200e+05,2.7678e+06,-1,0
1.22,0.129,8.6519,20.8418,0.0000,0.1012,4.1748e-01,3.3300e+05,3.4469e+06,-1,0
1.63,0.138,8.6519,24.4294,0.0000,0.0970,4.5379e-01,1.2200e+06,1.1413e+07,-1,0
1.49,0.153,8.6519,26.5060,0.0000,0.4394,5.5823e-01,1.4600e+06,1.1700e+07,-1,0
1.48,0.162,8.6519,27.8375,0.0000,0.0981,4.6066e-01,2.6930e+06,1.9807e+07,-1,0
0.91,0.125,8.6519,18.2561,0.0000,0.1040,4.4626e-01,1.2800e+05,1.3890e+06,-1,0
1.66,0.172,8.6519,30.6720,0.0000,0.0798,4.6740e-01,4.9600e+06,3.3347e+07,-1,0
1.44,0.173,8.6519,29.4055,0.0000,0.0899,4.5611e-01,3.8230e+06,2.5480e+07,-1,0
1.67,0.159,8.6519,28.3992,0.0000,0.0985,4.5772e-01,3.4150e+06,2.5832e+07,-1,0
1.24,0.161,8.6519,26.1091,0.0000,0.3895,5.4811e-01,1.2040e+06,8.9382e+06,-1,0
0.81,0.081,8.6519,11.3608,0.0000,0.0963,1.2372e-01,3.6000e+03,7.4893e+04,-1,0
0.84,0.104,8.6519,15.0868,0.0000,0.1002,3.1677e-01,3.0000e+04,4.2898e+05,-1,0
1.36,0.101,8.6519,16.9689,0.0000,0.0868,4.3226e-01,8.7000e+04,1.2999e+06,-1,0
0.99,0.102,8.6519,15.4755,0.0000,0.0920,3.8839e-01,4.1000e+04,6.0360e+05,-1,0
0.95,0.101,8.6519,15.1682,0.0000,0.1066,4.4190e-01,3.6000e+04,5.3788e+05,-1,0
0.97,0.110,8.6519,16.6529,0.0000,0.1126,4.2477e-01,6.4000e+04,8.4131e+05,-1,0
1.94,0.086,8.6519,16.1629,0.0000,0.1247,4.4069e-01,9.5000e+04,1.8065e+06,-1,0
1.15,0.160,8.6519,25.2585,0.0000,0.0989,4.8717e-01,1.1850e+06,8.8798e+06,-1,0
0.84,0.143,8.6519,20.3646,0.0000,0.0939,4.3887e-01,2.4300e+05,2.1551e+06,-1,0
1.08,0.108,8.6519,16.7797,0.0000,0.0969,3.9324e-01,7.2000e+04,9.7288e+05,-1,0
1.06,0.082,8.6519,12.6219,0.0000,0.0872,2.5760e-01,1.0000e+04,2.0424e+05,-1,0
0.93,0.140,8.6519,20.6362,0.0000,0.1032,4.4760e-01,2.7500e+05,2.5177e+06,-1,0
1.51,0.151,8.6519,26.1238,0.0000,0.0961,4.4847e-01,1.7790e+06,1.4540e+07,-1,0
1.69,0.162,8.6519,29.1359,0.0000,0.0941,4.6034e-01,4.1370e+06,3.0428e+07,-1,0
1.91,0.102,8.6519,19.1037,0.0000,0.1008,3.9829e-01,2.6600e+05,3.9160e+06,-1,0
1.20,0.136,8.6519,21.7832,0.0000,0.1027,4.4879e-01,4.6400e+05,4.4368e+06,-1,0
1.99,0.091,8.6519,17.3285,0.0000,0.0972,4.0778e-01,1.3600e+05,2.3760e+06,-1,0
0.91,0.082,8.6519,12.0131,0.0000,0.1045,1.6263e-01,6.2000e+03,1.2663e+05,-1,0
1.26,0.136,8.6519,22.2452,0.0000,0.1080,4.5085e-01,5.3500e+05,5.1158e+06,-1,0
1.75,0.091,8.6519,16.6436,0.0000,0.1080,3.7061e-01,9.9000e+04,1.7296e+06,-1,0
1.41,0.132,8.6519,22.2625,0.0000,0.1061,4.4727e-01,5.9200e+05,5.9200e+06,-1,0
1.26,0.125,8.6519,20.3798,0.0000,0.0987,4.5306e-01,3.0100e+05,3.2664e+06,-1,0
1.32,0.126,8.6519,20.8783,0.0000,0.0910,4.4895e-01,3.5700e+05,3.8280e+06,-1,0
1.52,0.106,8.6519,18.4822,0.0000,0.0923,4.0497e-01,1.7000e+05,2.3624e+06,-1,0
1.33,0.092,8.6519,15.3388,0.0000,0.0920,3.2222e-01,4.3000e+04,7.3901e+05,-1,0
1.11,0.092,8.6519,14.4147,0.0000,0.1096,3.4583e-01,2.6000e+04,4.4684e+05,-1,0
1.43,0.132,8.6519,22.4223,0.0000,0.0963,4.5519e-01,6.2700e+05,6.2700e+06,-1,0
1.29,0.081,8.6519,13.2680,0.0000,0.1103,2.8828e-01,1.6000e+04,3.3286e+05,-1,0
0.95,0.163,8.6519,24.0952,0.0000,0.0901,4.2506e-01,7.7200e+05,5.6260e+06,-1,0
1.59,0.131,8.6519,23.2693,0.0000,0.1063,4.4983e-01,8.1600e+05,8.2537e+06,-1,0
1.46,0.090,8.6519,15.7731,0.0000,0.0981,3.2243e-01,5.3000e+04,9.4140e+05,-1,0
1.34,0.140,8.6519,23.2585,0.0000,0.1040,4.3298e-01,7.4600e+05,6.8298e+06,-1,0
1.75,0.129,8.6519,23.4697,0.0000,0.0989,4.2552e-01,9.2700e+05,9.5953e+06,-1,0
1.15,0.140,8.6519,22.0587,0.0000,0.1011,4.5797e-01,4.7600e+05,4.3579e+06,-1,0
1.58,0.087,8.6519,15.4226,0.0000,0.1552,4.1121e-01,5.7000e+04,1.0653e+06,-1,0
1.94,0.116,8.6519,21.7756,0.0000,0.0971,4.1073e-01,6.0200e+05,7.3076e+06,-1,0
1.25,0.088,8.6519,14.5238,0.0000,0.0967,3.3365e-01,3.2000e+04,5.8788e+05,-1,0
1.96,0.087,8.6519,16.4065,0.0000,0.1032,3.6471e-01,1.0500e+05,1.9623e+06,-1,0
